,0,1
1481,3.7,3.0
1482,7.0,9.0
1483,6.0,227.0
1484,6.6,25.0
1485,7.0,326.0
1487,6.7,5796.0
1488,5.2,5.0
1490,0.0,0.0
1491,7.3,4048.0
1492,6.2,623.0
1493,6.5,3159.0
1494,6.8,576.0
1495,6.8,3301.0
1496,5.0,123.0
1497,6.1,841.0
1498,6.6,1344.0
1499,5.4,598.0
1523,7.5,1650.0
1534,5.7,520.0
1535,6.9,1657.0
1537,6.2,849.0
1538,7.2,4332.0
1539,5.6,7.0
1541,7.5,2605.0
1542,7.4,2294.0
1543,6.6,31.0
1546,6.2,178.0
1547,7.0,1521.0
1548,7.2,1095.0
1549,6.8,105.0
1550,6.5,173.0
1551,6.5,1199.0
1552,6.7,489.0
1553,7.0,324.0
1554,7.4,542.0
1555,7.1,901.0
1557,7.0,128.0
1558,6.1,9.0
1559,5.4,94.0
1560,6.8,47.0
1561,7.4,166.0
1562,6.6,3387.0
1563,7.5,182.0
1564,7.3,36.0
1566,7.4,112.0
1567,7.6,388.0
1568,6.9,165.0
1569,5.4,15.0
1571,6.6,4822.0
1572,7.2,4992.0
1573,6.9,4654.0
1574,7.1,2135.0
1576,6.6,5173.0
1577,6.4,3478.0
1578,8.0,3345.0
1579,7.5,4379.0
1580,8.0,2045.0
1581,7.1,4100.0
1583,6.9,167.0
1584,7.1,4633.0
1585,8.3,3302.0
1586,6.6,2973.0
1587,7.7,3141.0
1588,6.2,1394.0
1589,6.0,18.0
1590,6.4,132.0
1591,7.0,122.0
1592,7.7,2482.0
1593,6.6,8624.0
1594,7.3,380.0
1595,6.0,35.0
1596,5.8,209.0
1597,6.7,4968.0
1598,7.2,2605.0
1599,6.3,508.0
1600,7.6,546.0
1607,7.8,1638.0
1608,5.9,20.0
1609,6.8,158.0
1610,6.6,199.0
1611,6.5,129.0
1612,5.2,16.0
1613,6.1,454.0
1615,4.5,25.0
1616,4.8,22.0
1618,6.7,79.0
1619,6.3,323.0
1620,6.1,2670.0
1621,7.2,2569.0
1622,6.8,92.0
1623,7.1,347.0
1624,6.6,4554.0
1626,7.9,472.0
1627,7.1,234.0
1628,7.7,752.0
1629,7.0,152.0
1630,7.0,853.0
1631,5.3,84.0
1632,7.7,1248.0
1633,7.7,1052.0
1634,6.2,1458.0
1635,6.7,4521.0
1636,6.0,1443.0
1637,7.1,4887.0
1639,4.5,1288.0
1640,7.2,2840.0
1641,5.4,434.0
1642,6.0,1024.0
1644,6.1,372.0
1645,7.4,1772.0
1646,7.9,1767.0
1647,6.3,1400.0
1648,6.9,1411.0
1649,6.3,937.0
1650,6.3,4.0
1651,6.6,150.0
1652,6.6,40.0
1653,7.4,1018.0
1654,7.6,914.0
1655,6.5,21.0
1656,6.1,2414.0
1658,6.6,7.0
1659,6.1,32.0
1660,7.2,104.0
1661,7.7,67.0
1662,7.0,235.0
1663,6.3,23.0
1665,5.6,285.0
1666,6.8,175.0
1667,7.0,929.0
1669,7.4,2585.0
1670,6.6,19.0
1672,7.3,374.0
1673,6.5,72.0
1675,7.9,472.0
1676,6.5,68.0
1677,7.4,1521.0
1678,7.6,658.0
1679,6.1,174.0
1680,6.8,224.0
1682,7.1,198.0
1683,5.7,653.0
1684,6.3,9.0
1685,6.2,951.0
1686,5.7,25.0
1687,6.3,761.0
1688,6.1,671.0
1689,6.3,324.0
1690,5.9,2903.0
1691,5.8,1573.0
1693,5.9,63.0
1694,7.1,983.0
1696,6.8,1094.0
1697,7.1,76.0
1698,6.0,217.0
1699,5.7,86.0
1700,7.7,3625.0
1701,6.7,3270.0
1702,5.7,84.0
1705,5.7,662.0
1710,6.5,717.0
1711,6.2,18.0
1712,7.6,518.0
1713,6.4,227.0
1714,7.2,729.0
1715,7.0,902.0
1716,7.3,358.0
1717,5.8,231.0
1718,5.8,29.0
1719,7.2,147.0
1720,6.9,78.0
1721,6.8,301.0
1722,5.9,423.0
1723,7.0,117.0
1724,6.2,9772.0
1725,7.3,1478.0
1726,7.6,22691.0
1727,6.2,701.0
1729,6.6,1343.0
1730,7.1,830.0
1731,6.6,43.0
1732,5.9,26.0
1734,6.3,5723.0
1735,5.4,3693.0
1736,5.8,24.0
1738,6.0,2411.0
1739,6.0,2.0
1740,5.0,26.0
1770,6.9,354.0
1771,7.0,18548.0
1772,7.1,22.0
1773,7.3,27.0
1774,6.9,64.0
1775,5.8,166.0
1776,7.0,288.0
1777,7.1,1137.0
1778,7.7,7.0
1779,7.3,238.0
1781,7.0,694.0
1782,5.4,96.0
1783,6.5,124.0
1785,6.8,65.0
1786,7.5,498.0
1788,6.6,1607.0
1789,7.3,17.0
1790,5.2,13.0
1792,5.3,539.0
1793,6.7,35.0
1802,7.3,223.0
1803,6.1,67.0
1807,7.1,1458.0
1808,6.9,369.0
1810,7.0,162.0
1812,7.1,78.0
1813,7.4,4685.0
1814,0.0,0.0
1816,6.3,133.0
1817,6.8,2958.0
1818,7.2,297.0
1819,5.6,1125.0
1824,6.8,6040.0
1825,6.3,1289.0
1826,6.6,540.0
1829,6.9,148.0
1830,7.3,3693.0
1831,5.2,158.0
1832,6.9,2013.0
1833,6.8,475.0
1834,7.3,163.0
1835,6.5,102.0
1836,6.0,99.0
1837,7.1,83.0
1838,7.1,31.0
1839,6.0,4.0
1840,5.8,19.0
1841,6.0,66.0
1842,5.0,45.0
1843,7.0,48.0
1844,6.2,1593.0
1845,6.3,295.0
1846,6.1,52.0
1847,7.5,413.0
1848,5.5,14.0
1849,7.0,6.0
1850,7.3,1386.0
1851,5.4,9.0
1852,6.1,1372.0
1853,7.2,34.0
1854,5.5,2.0
1855,7.9,5.0
1857,7.2,383.0
1858,6.7,9313.0
1859,7.6,275.0
1860,7.0,4.0
1861,10.0,1.0
1862,6.6,5.0
1863,7.7,117.0
1864,6.4,6.0
1865,6.5,11929.0
1868,5.7,3.0
1870,6.7,385.0
1871,6.8,572.0
1872,5.0,177.0
1873,6.7,69.0
1874,6.8,125.0
1875,6.8,393.0
1876,6.0,1.0
1877,5.8,31.0
1878,7.2,3733.0
1879,7.7,621.0
1880,6.3,571.0
1881,7.4,37.0
1882,7.0,52.0
1883,7.5,1274.0
1884,6.0,241.0
1885,7.2,3270.0
1887,6.7,2222.0
1888,7.3,238.0
1889,5.0,1.0
1890,7.0,227.0
1891,8.4,14130.0
1892,7.9,12720.0
1893,6.5,12126.0
1894,6.5,10975.0
1895,7.4,11388.0
1896,6.7,49.0
1898,0.0,0.0
1899,6.4,50.0
1900,7.1,1675.0
1901,6.0,509.0
1902,7.5,763.0
1903,6.8,3266.0
1904,7.7,2381.0
1905,5.3,11.0
1906,6.5,12.0
1907,6.5,3626.0
1908,7.8,302.0
1909,6.7,598.0
1910,5.6,10.0
1911,6.7,1438.0
1912,6.7,69.0
1913,7.6,714.0
1914,5.9,23.0
1915,5.6,85.0
1917,6.1,28.0
1918,7.1,14.0
1919,7.1,167.0
1920,6.2,33.0
1921,6.8,1066.0
1922,6.9,124.0
1923,7.3,1484.0
1924,7.1,3003.0
1926,6.6,85.0
1927,5.5,4773.0
1930,6.7,14844.0
1931,6.8,317.0
1933,7.6,5190.0
1934,6.9,2569.0
1935,5.5,56.0
1936,6.7,303.0
1937,6.6,94.0
1938,7.1,115.0
1939,7.7,577.0
1940,6.5,18.0
1941,6.7,135.0
1942,7.2,124.0
1943,4.5,6.0
1944,6.1,151.0
1945,6.6,392.0
1946,6.9,1475.0
1947,6.8,481.0
1948,6.6,2975.0
1949,7.5,8375.0
1950,5.6,215.0
1951,6.9,247.0
1954,7.5,6072.0
1955,8.1,2660.0
1956,6.2,221.0
1957,6.6,887.0
1958,7.0,776.0
1959,6.6,53.0
1961,6.0,258.0
